time,precipitation,precipitation_probability,temperature_2m
2025-12-02T14:00:00.000Z,0,0,9.506500244140625
2025-12-02T15:00:00.000Z,0,0,8.706500053405762
2025-12-02T16:00:00.000Z,0,0,7.55649995803833
2025-12-02T17:00:00.000Z,0,0,6.506499767303467
2025-12-02T18:00:00.000Z,0,0,6.156499862670898
2025-12-02T19:00:00.000Z,0,0,5.356499671936035
2025-12-02T20:00:00.000Z,0,0,4.356499671936035
2025-12-02T21:00:00.000Z,0,0,3.9565000534057617
2025-12-02T22:00:00.000Z,0,0,3.7065000534057617
2025-12-02T23:00:00.000Z,0,0,3.2065000534057617
2025-12-03T00:00:00.000Z,0,0,2.9065001010894775
2025-12-03T01:00:00.000Z,0,0,2.506500005722046
2025-12-03T02:00:00.000Z,0,0,2.1565001010894775
2025-12-03T03:00:00.000Z,0,0,1.9565000534057617
2025-12-03T04:00:00.000Z,0,0,1.80649995803833
2025-12-03T05:00:00.000Z,0,0,1.756500005722046
2025-12-03T06:00:00.000Z,0,0,1.4565000534057617
2025-12-03T07:00:00.000Z,0,0,1.3565000295639038
2025-12-03T08:00:00.000Z,0,0,1.4565000534057617
2025-12-03T09:00:00.000Z,0,0,1.906499981880188
2025-12-03T10:00:00.000Z,0,0,2.30649995803833
2025-12-03T11:00:00.000Z,0,0,3.006500005722046
2025-12-03T12:00:00.000Z,0,0,4.606499671936035
2025-12-03T13:00:00.000Z,0,0,5.906499862670898
2025-12-03T14:00:00.000Z,0,0,7.55649995803833
2025-12-03T15:00:00.000Z,0,0,8.056500434875488
2025-12-03T16:00:00.000Z,0,0,7.656499862670898
2025-12-03T17:00:00.000Z,0,0,6.656499862670898
2025-12-03T18:00:00.000Z,0,0,5.906499862670898
2025-12-03T19:00:00.000Z,0,0,5.156499862670898
2025-12-03T20:00:00.000Z,0,0,4.106499671936035
2025-12-03T21:00:00.000Z,0,0,3.3564999103546143
2025-12-03T22:00:00.000Z,0,0,2.9065001010894775
2025-12-03T23:00:00.000Z,0,0,2.3564999103546143
2025-12-04T00:00:00.000Z,0,0,1.80649995803833
2025-12-04T01:00:00.000Z,0,0,1.55649995803833
2025-12-04T02:00:00.000Z,0,0,1.55649995803833
2025-12-04T03:00:00.000Z,0,0,1.3565000295639038
2025-12-04T04:00:00.000Z,0,0,1.8565000295639038
2025-12-04T05:00:00.000Z,0,0,2.1565001010894775
2025-12-04T06:00:00.000Z,0,10,3.05649995803833
2025-12-04T07:00:00.000Z,0,13,4.006499767303467
2025-12-04T08:00:00.000Z,0.20000000298023224,26,4.156499862670898
2025-12-04T09:00:00.000Z,0.4000000059604645,39,4.906499862670898
2025-12-04T10:00:00.000Z,0.5,67,5.7064995765686035
2025-12-04T11:00:00.000Z,0.10000000149011612,86,5.906499862670898
2025-12-04T12:00:00.000Z,0.20000000298023224,80,6.30649995803833
2025-12-04T13:00:00.000Z,0.20000000298023224,85,6.4564995765686035
2025-12-04T14:00:00.000Z,0.20000000298023224,39,6.406499862670898
2025-12-04T15:00:00.000Z,0,18,6.80649995803833
2025-12-04T16:00:00.000Z,0,6,6.756499767303467
2025-12-04T17:00:00.000Z,0,4,6.55649995803833
2025-12-04T18:00:00.000Z,0,4,6.506499767303467
2025-12-04T19:00:00.000Z,0,25,6.4564995765686035
2025-12-04T20:00:00.000Z,0.6000000238418579,24,6.7064995765686035
