"Start Date:01/14/2026 12:00 AM End Date:01/23/2026 12:00 AM","","","","","","","","","","",""
"DATE","Vehicle ID","Number","Route","Station","ARRIVAL","DEPARTURE","Dwell (sec)","APC Boardings","APC Alightings","EPC Boardings","EPC Alightings"
"2026-01-14","21-130","NIS","South Donahue","Gentilly Park","06:46:35","06:46:59","24","0","0","0","0"
"2026-01-14","21-142","07:00:00-27059","South College","Mell St Station","06:46:35","07:00:11","816","0","0","0","0"
"2026-01-14","21-106","NIS","South Donahue","Madison Park","06:46:43","06:47:16","33","0","0","0","0"
"2026-01-14","21-170","NIS","Health Sciences Sector","Gentilly Park","06:46:45","06:46:45","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","Madison Park","06:46:49","06:47:18","29","0","0","0","0"
"2026-01-14","21-110","NIS","North Donahue","Madison Park","06:46:57","06:47:21","24","0","0","0","0"
"2026-01-14","21-161","NIS","No Route","Greene Hall","06:46:57","06:46:57","0","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","Greene Hall","06:46:59","06:46:59","0","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","Greene Hall","06:47:01","06:47:01","0","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","College of Veterinary Medicine","06:47:04","06:47:04","0","0","0","0","0"
"2026-01-14","21-133","NIS","West Glenn","College of Veterinary Medicine","06:47:05","06:47:05","0","0","0","0","0"
"2026-01-14","21-163","NIS","Samford-Shug Jordan","Gentilly Park","06:47:05","06:47:18","13","0","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","College of Veterinary Medicine","06:47:07","06:47:07","0","0","0","0","0"
"2026-01-14","21-151","NIS","Park & Ride","Madison Park","06:47:08","06:47:32","24","0","0","0","0"
"2026-01-14","21-159","NIS","Webster Road","Gentilly Park","06:47:10","06:47:35","25","0","0","0","0"
"2026-01-14","21-133","NIS","West Glenn","Greene Hall","06:47:15","06:47:15","0","0","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","Greene Hall","06:47:17","06:47:17","0","0","0","0","0"
"2026-01-14","21-130","NIS","South Donahue","Madison Park","06:47:19","06:47:19","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","The Brookes & Hearthstone","06:47:24","06:47:24","0","0","0","0","0"
"2026-01-14","21-131","NIS","College Loop","Gentilly Park","06:47:25","06:48:01","36","0","0","0","0"
"2026-01-14","21-170","NIS","Health Sciences Sector","Madison Park","06:47:25","06:47:25","0","0","0","0","0"
"2026-01-14","21-102","NIS","West Campus","The Brookes & Hearthstone","06:47:25","06:47:25","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Pan 2","06:47:27","06:47:27","0","0","0","0","0"
"2026-01-14","21-167","07:05:00-27086","Wire Road","Gentilly Park","06:47:32","06:47:48","16","0","0","0","0"
"2026-01-14","21-106","NIS","South Donahue","The Brookes & Hearthstone","06:47:36","06:47:36","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","The Brookes & Hearthstone","06:47:38","06:47:38","0","0","0","0","0"
"2026-01-14","21-163","NIS","Samford-Shug Jordan","Madison Park","06:47:38","06:47:38","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","AU Medical Clinic","06:47:39","06:47:42","3","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","Pan 2","06:47:41","06:47:41","0","0","0","0","0"
"2026-01-14","21-110","NIS","North Donahue","The Brookes & Hearthstone","06:47:41","06:47:41","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","Crossland Downs & Stone Gate Mobile Home Community","06:47:44","06:47:44","0","0","0","0","0"
"2026-01-14","21-159","NIS","Webster Road","Madison Park","06:47:45","06:47:45","0","0","0","0","0"
"2026-01-14","21-102","NIS","West Campus","Crossland Downs & Stone Gate Mobile Home Community","06:47:45","06:47:45","0","0","0","0","0"
"2026-01-14","21-130","NIS","South Donahue","The Brookes & Hearthstone","06:47:49","06:47:49","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","South Quad Parking Deck","06:47:52","06:47:52","0","0","0","0","0"
"2026-01-14","21-151","NIS","Park & Ride","The Brookes & Hearthstone","06:47:52","06:47:52","0","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","AU Medical Clinic","06:47:54","06:47:55","1","0","0","0","0"
"2026-01-14","21-140","07:00:00-27082","Magnolia","160 Ross","06:47:55","07:00:25","750","0","0","0","0"
"2026-01-14","21-170","NIS","Health Sciences Sector","The Brookes & Hearthstone","06:47:55","06:47:55","0","0","0","0","0"
"2026-01-14","21-106","NIS","South Donahue","Crossland Downs & Stone Gate Mobile Home Community","06:47:56","06:47:56","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","Crossland Downs & Stone Gate Mobile Home Community","06:47:58","06:47:58","0","0","0","0","0"
"2026-01-14","21-167","07:05:00-27086","Wire Road","Madison Park","06:47:58","06:47:58","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","College of Veterinary Medicine","06:48:04","06:48:04","0","0","0","0","0"
"2026-01-14","21-112","NIS","North College","Gentilly Park","06:48:04","06:48:38","34","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","South Quad Parking Deck","06:48:05","06:48:05","0","0","0","0","0"
"2026-01-14","21-154","NIS","South Auburn","Gentilly Park","06:48:06","06:48:53","47","0","0","0","0"
"2026-01-14","21-131","NIS","College Loop","Madison Park","06:48:11","06:48:11","0","0","0","0","0"
"2026-01-14","21-102","NIS","West Campus","Greene Hall","06:48:15","06:48:15","0","0","0","0","0"
"2026-01-14","21-106","NIS","South Donahue","College of Veterinary Medicine","06:48:16","06:48:16","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","Greene Hall","06:48:16","06:48:16","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","College of Veterinary Medicine","06:48:18","06:48:18","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","Greene Hall","06:48:29","06:48:29","0","0","0","0","0"
"2026-01-14","21-163","NIS","Samford-Shug Jordan","The Brookes & Hearthstone","06:48:35","06:48:35","0","0","0","0","0"
"2026-01-14","21-167","07:05:00-27086","Wire Road","The Brookes & Hearthstone","06:48:38","06:48:38","0","0","0","0","0"
"2026-01-14","21-110","NIS","North Donahue","Crossland Downs & Stone Gate Mobile Home Community","06:48:38","06:48:38","0","0","0","0","0"
